,Time,TotalTraffic,AverageTraffic,SpecialVehicles
0,0.1,0,0.0,[]
1,0.2,4,0.15277777777777776,[]
2,0.30000000000000004,7,0.24999999999999997,[]
3,0.4,11,0.38888888888888884,[]
4,0.5,14,0.4861111111111111,[]
5,0.6,14,0.4861111111111111,[]
6,0.7,16,0.5972222222222222,[]
7,0.7999999999999999,18,0.5972222222222222,[]
8,0.8999999999999999,21,0.8194444444444443,[]
9,0.9999999999999999,22,0.763888888888889,[]
10,1.0999999999999999,26,0.8888888888888888,[]
11,1.2,28,0.986111111111111,[]
12,1.3,32,1.0694444444444444,[]
13,1.4000000000000001,36,1.1805555555555556,[]
14,1.5000000000000002,39,1.3333333333333333,[]
15,1.6000000000000003,43,1.4027777777777777,[]
16,1.7000000000000004,45,1.5277777777777777,[]
17,1.8000000000000005,47,1.5555555555555554,[]
18,1.9000000000000006,51,1.6805555555555554,[]
19,2.0000000000000004,53,1.75,[]
20,2.1000000000000005,56,1.8194444444444446,[]
21,2.2000000000000006,60,2.0,[]
22,2.3000000000000007,61,2.013888888888889,[]
23,2.400000000000001,65,2.138888888888889,[]
24,2.500000000000001,67,2.2083333333333335,[]
25,2.600000000000001,71,2.347222222222222,[]
26,2.700000000000001,74,2.4305555555555554,[]
27,2.800000000000001,76,2.486111111111111,[]
28,2.9000000000000012,80,2.638888888888889,[]
29,3.0000000000000013,84,2.777777777777778,[]
30,3.1000000000000014,88,2.902777777777778,[]
31,3.2000000000000015,92,3.0555555555555554,[]
32,3.3000000000000016,95,3.1666666666666665,[]
33,3.4000000000000017,99,3.2916666666666665,[]
34,3.5000000000000018,102,3.388888888888889,[]
35,3.600000000000002,106,3.5694444444444446,[]
36,3.700000000000002,108,3.5833333333333335,[]
37,3.800000000000002,112,3.7083333333333335,[]
38,3.900000000000002,114,3.7916666666666665,[]
39,4.000000000000002,118,3.8888888888888893,[]
40,4.100000000000001,122,4.041666666666667,[]
41,4.200000000000001,126,4.166666666666667,[]
42,4.300000000000001,129,4.263888888888889,[]
43,4.4,132,4.375,[]
44,4.5,134,4.416666666666667,[]
45,4.6,135,4.430555555555556,[]
46,4.699999999999999,137,4.583333333333333,[]
47,4.799999999999999,139,4.569444444444444,[]
48,4.899999999999999,141,4.597222222222222,[]
49,4.999999999999998,145,4.777777777777778,[]
50,5.099999999999998,146,4.805555555555555,[]
51,5.1999999999999975,146,4.736111111111112,[]
52,5.299999999999997,139,4.444444444444445,[]
53,5.399999999999997,136,4.347222222222222,[]
54,5.4999999999999964,129,4.097222222222222,[]
55,5.599999999999996,127,4.041666666666667,[]
56,5.699999999999996,124,4.0,[]
57,5.799999999999995,125,4.111111111111111,[]
58,5.899999999999995,123,4.083333333333333,[]
59,5.999999999999995,122,4.208333333333333,[]
60,6.099999999999994,123,4.111111111111112,[]
61,6.199999999999994,120,3.9166666666666665,[]
62,6.299999999999994,113,3.611111111111111,[]
63,6.399999999999993,106,3.3333333333333335,[]
64,6.499999999999993,107,3.430555555555556,[]
65,6.5999999999999925,105,3.388888888888889,[]
66,6.699999999999992,103,3.375,[]
67,6.799999999999992,103,3.4166666666666665,[]
68,6.8999999999999915,107,3.527777777777778,[]
69,6.999999999999991,110,3.6388888888888893,[]
70,7.099999999999991,111,3.6805555555555554,[]
71,7.19999999999999,113,3.7916666666666665,[]
72,7.29999999999999,113,3.8472222222222228,[]
73,7.39999999999999,114,3.9722222222222228,[]
74,7.499999999999989,115,3.9861111111111107,[]
75,7.599999999999989,113,3.9027777777777772,[]
76,7.699999999999989,113,3.8611111111111107,[]
77,7.799999999999988,117,4.013888888888889,[]
78,7.899999999999988,121,4.166666666666667,[]
79,7.999999999999988,124,4.25,[]
80,8.099999999999987,128,4.430555555555555,[]
81,8.199999999999987,127,4.527777777777778,[]
82,8.299999999999986,131,4.611111111111111,[]
83,8.399999999999986,132,4.694444444444445,[]
84,8.499999999999986,136,4.902777777777778,[]
85,8.599999999999985,140,5.097222222222222,[]
86,8.699999999999985,143,5.222222222222222,[]
87,8.799999999999985,147,5.416666666666667,[]
88,8.899999999999984,150,5.527777777777779,[]
89,8.999999999999984,153,5.666666666666667,[]
90,9.099999999999984,157,5.875,[]
91,9.199999999999983,158,5.972222222222221,[]
92,9.299999999999983,159,6.0694444444444455,[]
93,9.399999999999983,160,6.166666666666667,[]
94,9.499999999999982,159,6.180555555555556,[]
95,9.599999999999982,163,6.361111111111112,[]
96,9.699999999999982,164,6.347222222222221,[]
97,9.799999999999981,166,6.3194444444444455,[]
98,9.89999999999998,170,6.527777777777779,[]
99,9.99999999999998,171,6.4444444444444455,[]
100,10.09999999999998,169,6.375,[]
101,10.19999999999998,167,6.097222222222221,[]
102,10.29999999999998,163,6.0555555555555545,[]
103,10.399999999999979,157,5.791666666666667,[]
104,10.499999999999979,150,5.458333333333333,[]
105,10.599999999999978,145,5.208333333333333,[]
106,10.699999999999978,141,4.916666666666667,[]
107,10.799999999999978,135,4.625,[]
108,10.899999999999977,134,4.722222222222222,[]
109,10.999999999999977,132,4.638888888888888,[]
110,11.099999999999977,132,4.680555555555555,[]
111,11.199999999999976,129,4.416666666666667,[]
112,11.299999999999976,127,4.361111111111112,[]
113,11.399999999999975,125,4.305555555555555,[]
114,11.499999999999975,123,4.277777777777778,[]
115,11.599999999999975,122,4.319444444444445,[]
116,11.699999999999974,123,4.416666666666667,[]
117,11.799999999999974,122,4.402777777777778,[]
118,11.899999999999974,121,4.361111111111112,[]
119,11.999999999999973,121,4.388888888888889,[]
120,12.099999999999973,122,4.458333333333333,[]
121,12.199999999999973,123,4.541666666666667,[]
122,12.299999999999972,122,4.583333333333333,[]
123,12.399999999999972,123,4.694444444444444,[]
124,12.499999999999972,124,4.805555555555556,[]
125,12.599999999999971,122,4.791666666666667,[]
126,12.69999999999997,126,4.986111111111112,[]
127,12.79999999999997,128,5.069444444444444,[]
128,12.89999999999997,129,5.194444444444445,[]
129,12.99999999999997,131,5.083333333333333,[]
130,13.09999999999997,130,5.152777777777778,[]
131,13.199999999999969,130,5.0,[]
132,13.299999999999969,130,5.041666666666667,[]
133,13.399999999999968,130,5.0,[]
134,13.499999999999968,133,5.111111111111111,[]
135,13.599999999999968,137,5.263888888888888,[]
136,13.699999999999967,141,5.416666666666667,[]
137,13.799999999999967,144,5.541666666666667,[]
138,13.899999999999967,147,5.6805555555555545,[]
139,13.999999999999966,146,5.5694444444444455,[]
140,14.099999999999966,142,5.375,[]
141,14.199999999999966,138,5.25,[]
142,14.299999999999965,134,5.069444444444445,[]
143,14.399999999999965,132,5.083333333333333,[]
144,14.499999999999964,129,4.986111111111111,[]
145,14.599999999999964,128,5.0,[]
146,14.699999999999964,127,4.875,[]
147,14.799999999999963,124,4.694444444444445,[]
148,14.899999999999963,120,4.472222222222222,[]
149,14.999999999999963,116,4.194444444444444,[]
150,15.099999999999962,111,3.8888888888888893,[]
151,15.199999999999962,115,4.069444444444444,[]
152,15.299999999999962,116,4.180555555555555,[]
153,15.399999999999961,117,4.291666666666667,[]
154,15.499999999999961,118,4.416666666666667,[]
155,15.59999999999996,119,4.541666666666667,[]
156,15.69999999999996,119,4.541666666666667,[]
157,15.79999999999996,122,4.680555555555555,[]
158,15.89999999999996,126,4.805555555555556,[]
159,15.99999999999996,127,4.930555555555556,[]
160,16.09999999999996,123,4.638888888888889,[]
161,16.19999999999996,121,4.513888888888889,[]
162,16.29999999999996,119,4.444444444444444,[]
163,16.399999999999963,120,4.486111111111112,[]
164,16.499999999999964,123,4.611111111111111,[]
165,16.599999999999966,117,4.333333333333333,[]
166,16.699999999999967,114,4.180555555555555,[]
167,16.79999999999997,112,4.069444444444445,[]
168,16.89999999999997,107,4.013888888888888,[]
169,16.99999999999997,106,3.972222222222222,[]
170,17.099999999999973,103,3.875,[]
171,17.199999999999974,101,3.805555555555556,[]
172,17.299999999999976,100,3.847222222222222,[]
173,17.399999999999977,97,3.763888888888889,[]
174,17.49999999999998,94,3.6666666666666665,[]
175,17.59999999999998,95,3.625,[]
176,17.69999999999998,92,3.361111111111111,[]
177,17.799999999999983,95,3.486111111111111,[]
178,17.899999999999984,99,3.5833333333333335,[]
179,17.999999999999986,98,3.5,[]
180,18.099999999999987,99,3.5416666666666665,[]
181,18.19999999999999,98,3.527777777777778,[]
182,18.29999999999999,100,3.6527777777777772,[]
183,18.39999999999999,99,3.6666666666666665,[]
184,18.499999999999993,97,3.7361111111111107,[]
185,18.599999999999994,93,3.486111111111111,[]
186,18.699999999999996,91,3.4583333333333335,[]
187,18.799999999999997,87,3.2916666666666665,[]
188,18.9,84,3.055555555555556,[]
189,19.0,83,2.986111111111111,[]
190,19.1,82,2.9166666666666665,[]
191,19.200000000000003,80,2.7916666666666665,[]
192,19.300000000000004,76,2.777777777777778,[]
193,19.400000000000006,77,2.75,[]
194,19.500000000000007,73,2.597222222222222,[]
195,19.60000000000001,73,2.527777777777778,[]
196,19.70000000000001,68,2.361111111111111,[]
197,19.80000000000001,69,2.375,[]
198,19.900000000000013,69,2.361111111111111,[]
199,20.000000000000014,67,2.2083333333333335,[]
200,20.100000000000016,66,2.319444444444444,[]
201,20.200000000000017,66,2.25,[]
202,20.30000000000002,65,2.236111111111111,[]
203,20.40000000000002,63,2.236111111111111,[]
204,20.50000000000002,64,2.2916666666666665,[]
205,20.600000000000023,60,2.0833333333333335,[]
206,20.700000000000024,59,2.013888888888889,[]
207,20.800000000000026,60,2.1944444444444446,[]
208,20.900000000000027,61,2.0277777777777777,[]
209,21.00000000000003,60,2.0277777777777777,[]
210,21.10000000000003,64,2.1805555555555554,[]
211,21.20000000000003,68,2.375,[]
212,21.300000000000033,67,2.4166666666666665,[]
213,21.400000000000034,68,2.6249999999999996,[]
214,21.500000000000036,65,2.430555555555556,[]
215,21.600000000000037,64,2.3055555555555554,[]
216,21.70000000000004,60,2.069444444444444,[]
217,21.80000000000004,61,2.125,[]
218,21.90000000000004,63,2.1666666666666665,[]
219,22.000000000000043,61,1.9583333333333333,[]
